,id,candidate
0,2464673,"{'candidates': [[[14, 0, 9], [0, 1, 3, 4, 5, 6, 9, 11, 12, 13, 16]], [[14, 0, 10], [1, 4, 6, 9, 12]], [[14, 0, 11], [1, 4, 6, 9, 12]]]}"
1,2464674,"{'candidates': [[[14, 1, 10], [0, 1, 3, 4, 5, 6, 9, 11, 12, 13, 15, 16]], [[14, 1, 11], [1, 4, 6, 9, 12]]]}"
2,2464675,"{'candidates': [[[14, 2, 11], [0, 1, 3, 4, 5, 6, 9, 11, 12, 13, 15, 16]], [[14, 2, 12], [4, 5, 6, 9, 12]], [[14, 2, 13], [4, 5, 6, 9, 12]], [[14, 2, 14], [4, 5, 6, 9, 12]]]}"
3,2464676,"{'candidates': [[[14, 3, 12], [0, 1, 3, 4, 5, 6, 9, 11, 12, 13, 16]], [[14, 3, 13], [4, 5, 6, 9, 12]], [[14, 3, 14], [4, 5, 6, 9, 12]]]}"
4,2464677,"{'candidates': [[[14, 4, 13], [0, 1, 3, 4, 5, 6, 9, 12, 13, 16]]]}"
5,2464678,"{'candidates': [[[14, 5, 14], [0, 1, 4, 6, 9, 12, 13]]]}"
6,2464679,"{'candidates': [[[15, 1, 10], [0, 3, 4, 10, 11, 17]]]}"
7,2464680,"{'candidates': [[[15, 2, 11], [0, 3, 4, 10, 11, 17]]]}"
8,2464681,"{'candidates': [[[15, 3, 12], [0, 3, 4, 5, 10, 11, 16, 17]]]}"
9,2464682,"{'candidates': [[[15, 4, 13], [0, 3, 4, 5, 10, 11, 16, 17]]]}"
10,2464683,"{'candidates': [[[15, 5, 14], [0, 3, 4, 5, 10, 11, 17]]]}"
11,2464684,"{'candidates': [[[15, 6, 15], [0, 3, 4, 5, 10, 11, 17]]]}"
12,2464685,"{'candidates': [[[15, 7, 16], [0, 3, 4, 5, 9, 10, 11, 17]]]}"
13,2464686,"{'candidates': [[[15, 8, 17], [0, 3, 4, 5, 9, 10, 11, 17]]]}"
14,2464687,"{'candidates': [[[16, 6, 15], [3, 9, 10, 15, 17]]]}"
15,2464688,"{'candidates': [[[16, 7, 16], [3, 9, 10, 15, 17]]]}"
16,2464689,"{'candidates': [[[16, 8, 17], [3, 9, 10, 15, 17]]]}"
17,2464690,"{'candidates': [[[16, 9, 18], [3, 9, 10, 15, 17]]]}"
18,2464691,"{'candidates': [[[18, 0, 9], [0, 2, 3, 5, 8, 10, 11, 13, 14, 15, 16, 17]], [[18, 0, 10], [2, 3, 8, 10, 11, 16, 17]], [[18, 0, 11], [2, 3, 10, 11, 16, 17]]]}"
19,2464692,"{'candidates': [[[18, 1, 10], [0, 2, 3, 5, 8, 10, 11, 13, 14, 15, 16, 17]], [[18, 1, 11], [2, 3, 8, 10, 11, 16, 17]]]}"
20,2464693,"{'candidates': [[[18, 2, 11], [0, 2, 3, 5, 8, 10, 11, 13, 14, 15, 16, 17]], [[18, 2, 12], [8, 10, 11, 16, 17]]]}"
