,effectiveness,T1,T2,shot_attempt,score,2_or_3_point,ID1,ID2,team_id,game_id,quarter,score_binary,attempt_binary
"(1040,)",0.0,85.0,71.0,2.0,2.0,2.0,201567.0,202681.0,1610612739.0,21500499,1,1,1
"(1041,)",1.0,16.0,0.0,2.0,0.0,2.0,101112.0,203901.0,1610612739.0,21500499,1,0,1
"(1042,)",1.0,81.0,60.0,3.0,0.0,3.0,202681.0,2544.0,1610612739.0,21500499,1,0,1
"(1043,)",0.0,5.0,0.0,3.0,0.0,3.0,2747.0,-1.0,1610612739.0,21500499,1,0,1
"(1044,)",0.0,69.0,50.0,3.0,3.0,3.0,201567.0,2747.0,1610612739.0,21500499,1,1,1
"(1048,)",1.0,134.0,111.0,3.0,0.0,3.0,2544.0,201567.0,1610612739.0,21500499,1,0,1
"(1052,)",1.0,47.0,31.0,3.0,0.0,3.0,203521.0,2210.0,1610612739.0,21500499,1,0,1
"(1053,)",0.0,0.0,0.0,0.0,0.0,3.0,1626209.0,-1.0,1610612739.0,21500499,1,0,0
"(1055,)",1.0,57.0,13.0,3.0,0.0,3.0,2592.0,202389.0,1610612739.0,21500499,2,0,1
"(1056,)",0.0,45.0,13.0,2.0,0.0,2.0,202389.0,202697.0,1610612739.0,21500499,2,0,1
"(1058,)",1.0,78.0,0.0,3.0,0.0,3.0,202697.0,203521.0,1610612739.0,21500499,2,0,1
"(1062,)",0.0,0.0,0.0,2.0,0.0,2.0,202681.0,-1.0,1610612739.0,21500499,2,0,1
"(1063,)",0.0,45.0,6.0,3.0,0.0,3.0,202681.0,201567.0,1610612739.0,21500499,2,0,1
"(1065,)",1.0,43.0,29.0,2.0,2.0,2.0,2544.0,201567.0,1610612739.0,21500499,2,1,1
"(1068,)",1.0,67.0,0.0,3.0,3.0,3.0,2747.0,202681.0,1610612739.0,21500499,3,1,1
"(1069,)",0.0,89.0,79.0,3.0,0.0,3.0,2747.0,2544.0,1610612739.0,21500499,3,0,1
"(1072,)",1.0,94.0,45.0,2.0,2.0,2.0,202681.0,2747.0,1610612739.0,21500499,3,1,1
"(1073,)",0.0,68.0,62.0,3.0,0.0,3.0,201567.0,2747.0,1610612739.0,21500499,3,0,1
"(1076,)",0.0,87.0,17.0,3.0,0.0,3.0,2747.0,202681.0,1610612739.0,21500499,3,0,1
"(1078,)",0.0,116.0,16.0,2.0,0.0,2.0,202681.0,201567.0,1610612739.0,21500499,3,0,1
"(1080,)",0.0,47.0,24.0,2.0,2.0,2.0,2544.0,201567.0,1610612739.0,21500499,3,1,1
"(1086,)",1.0,73.0,9.0,3.0,0.0,3.0,203521.0,202684.0,1610612739.0,21500499,3,0,1
"(1087,)",0.0,42.0,0.0,2.0,0.0,2.0,2544.0,203521.0,1610612739.0,21500499,3,0,1
"(1089,)",0.0,125.0,85.0,3.0,0.0,3.0,2592.0,202389.0,1610612739.0,21500499,4,0,1
"(1090,)",1.0,66.0,21.0,3.0,0.0,3.0,203521.0,202697.0,1610612739.0,21500499,4,0,1
"(1091,)",1.0,44.0,38.0,3.0,0.0,3.0,2210.0,203521.0,1610612739.0,21500499,4,0,1
"(1093,)",1.0,61.0,54.0,0.0,0.0,2.0,2210.0,202697.0,1610612739.0,21500499,4,0,0
"(1094,)",1.0,141.0,98.0,3.0,3.0,3.0,2590.0,2210.0,1610612739.0,21500499,4,1,1
"(1095,)",0.0,43.0,0.0,2.0,0.0,2.0,203099.0,2590.0,1610612739.0,21500499,4,0,1
"(1097,)",0.0,39.0,12.0,3.0,0.0,3.0,2590.0,2592.0,1610612739.0,21500499,4,0,1
"(1098,)",0.0,73.0,42.0,2.0,0.0,2.0,2760.0,2210.0,1610612739.0,21500499,4,0,1
"(1099,)",1.0,43.0,0.0,2.0,2.0,3.0,2592.0,2760.0,1610612739.0,21500499,4,1,1
"(1101,)",1.0,42.0,0.0,2.0,0.0,2.0,203473.0,203894.0,1610612739.0,21500499,4,0,1
"(1102,)",0.0,0.0,0.0,3.0,0.0,3.0,2590.0,-1.0,1610612739.0,21500499,4,0,1
