id,aid,tid,pid,label,geom
0,0,0,0,0,POINT(125.5 16.5)
1,0,0,1,0,POINT(124.5 17.1)
2,0,0,2,0,POINT(123 17.7)
3,0,0,3,0,POINT(121.7 18.4)
4,0,0,4,0,POINT(120.5 19.1)
5,0,0,5,0,POINT(118.9 20.1)
6,0,0,6,0,POINT(117.5 21)
7,0,0,7,0,POINT(116.8 21.6)
8,0,0,8,0,POINT(116.3 22.2)
9,0,0,9,0,POINT(115.4 23)
10,0,0,10,0,POINT(114.7 23.6)
11,0,0,11,0,POINT(114.2 24)
12,0,0,12,0,POINT(113.8 24.4)
13,0,0,13,0,POINT(113.3 24.8)
14,0,0,14,0,POINT(112.8 25.2)
15,0,0,15,0,POINT(112.3 25.5)
16,0,0,16,0,POINT(111.7 25.7)
17,0,0,17,0,POINT(111.2 25.8)
18,0,0,18,0,POINT(110.8 25.7)
19,0,0,19,0,POINT(110.3 25.6)
20,0,0,20,0,POINT(109.6 25.4)
21,0,0,21,0,POINT(108.6 25.3)
22,0,0,22,0,POINT(107.6 25.3)
23,0,0,23,0,POINT(106.8 25.5)
24,0,0,24,0,POINT(106.2 26.1)
25,0,0,25,0,POINT(105.6 26.8)
26,0,0,26,0,POINT(105.1 27.5)
27,0,0,27,0,POINT(104.6 28.2)
28,0,0,28,0,POINT(104.2 28.9)
29,0,0,29,0,POINT(103.9 29.9)
30,0,0,30,0,POINT(103.8 31)
31,0,0,31,0,POINT(104 31.9)
32,0,0,32,0,POINT(104.3 32.8)
33,0,0,33,0,POINT(105.2 34.5)
34,0,0,34,0,POINT(107.1 36.5)
35,0,0,35,0,POINT(108.6 37.9)
36,0,0,36,0,POINT(110.5 39.4)
37,0,0,37,0,POINT(113 41.8)
38,0,0,38,0,POINT(115.7 44.2)
39,0,0,39,0,POINT(118 46)
40,0,0,40,0,POINT(120.4 47.9)
41,0,0,41,0,POINT(123.2 49.8)
42,0,0,42,0,POINT(126 51.8)
43,0,0,43,0,POINT(129.3 53.6)
44,0,1,0,0,POINT(139.9 15.6)
45,0,1,1,0,POINT(138.9 15.7)
46,0,1,2,0,POINT(137.7 15.7)
47,0,1,3,0,POINT(136.6 15.8)
48,0,1,4,0,POINT(135.5 15.9)
49,0,1,5,0,POINT(134.5 16.1)
50,0,1,6,0,POINT(133.1 16.6)
51,0,1,7,0,POINT(131.7 17.3)
52,0,1,8,0,POINT(130.6 18.1)
53,0,1,9,0,POINT(129.8 18.9)
54,0,1,10,0,POINT(129.2 19.5)
55,0,1,11,0,POINT(128.7 19.9)
56,0,1,12,0,POINT(128.2 20.2)
57,0,1,13,0,POINT(127.7 20.5)
58,0,1,14,0,POINT(127 21)
59,0,1,15,0,POINT(126.3 21.4)
60,0,1,16,0,POINT(125.7 21.8)
61,0,1,17,0,POINT(125.3 22)
62,0,1,18,0,POINT(124.9 22.2)
63,0,1,19,0,POINT(124.6 22.4)
64,0,1,20,0,POINT(124.3 22.5)
65,0,1,21,0,POINT(123.8 22.7)
66,0,1,22,0,POINT(123.1 22.8)
67,0,1,23,0,POINT(122.4 23.1)
68,0,1,24,0,POINT(121.7 23.5)
69,0,1,25,0,POINT(121 24)
70,0,1,26,0,POINT(120.6 24.6)
71,0,1,27,0,POINT(120.3 25.5)
72,0,1,28,0,POINT(120.2 26.6)
73,0,1,29,0,POINT(120.3 28.3)
74,0,1,30,0,POINT(120.9 30.6)
75,0,1,31,0,POINT(122.3 33)
76,0,1,32,0,POINT(124.1 35)
77,0,1,33,0,POINT(126.3 36.8)
78,0,1,34,0,POINT(128.8 38.2)
79,0,1,35,0,POINT(131.5 39.3)
80,0,1,36,0,POINT(137.2 41.9)
81,0,2,0,1,POINT(90.8 27.5)
82,0,2,1,1,POINT(89.2 27.5)
83,0,2,2,1,POINT(88.1 27)
84,0,2,3,1,POINT(87.9 26.7)
85,0,2,4,1,POINT(87.8 26.5)
86,0,2,5,1,POINT(87.7 26.3)
87,0,2,6,1,POINT(87.8 26.1)
88,0,2,7,1,POINT(88.9 25.4)
89,0,2,8,1,POINT(90.6 25.3)
90,0,2,9,1,POINT(91.8 25.7)
91,0,2,10,1,POINT(93 26.1)
92,0,2,11,1,POINT(93.9 26.5)
93,0,2,12,1,POINT(94.8 27.1)
94,0,2,13,1,POINT(96.1 28.2)
95,0,2,14,1,POINT(97 29.8)
96,0,2,15,1,POINT(96.9 30.1)
97,0,3,0,0,POINT(134.3 12.2)
98,0,3,1,0,POINT(133.8 12.3)
99,0,3,2,0,POINT(133.2 12.4)
100,0,3,3,0,POINT(132.5 12.6)
101,0,3,4,0,POINT(131.6 12.8)
102,0,3,5,0,POINT(130.8 13)
103,0,3,6,0,POINT(130.1 13.2)
104,0,3,7,0,POINT(129.4 13.4)
105,0,3,8,0,POINT(128.7 13.6)
106,0,3,9,0,POINT(127.8 13.8)
107,0,3,10,0,POINT(126.5 14)
108,0,3,11,0,POINT(124.7 14.3)
109,0,3,12,0,POINT(122.8 14.6)
110,0,3,13,0,POINT(121 14.9)
111,0,3,14,0,POINT(119.3 15.2)
112,0,3,15,0,POINT(117.5 15.4)
113,0,3,16,0,POINT(115.2 15.7)
114,0,3,17,0,POINT(113 16)
115,0,3,18,0,POINT(111.3 16.1)
116,0,3,19,0,POINT(109.7 16.2)
117,0,3,20,0,POINT(107.9 16.4)
118,0,3,21,0,POINT(106.1 16.8)
119,0,3,22,0,POINT(104.3 17.4)
120,0,3,23,0,POINT(102.6 18.1)
121,0,3,24,0,POINT(101.1 18.2)
122,0,3,25,0,POINT(99.5 18.2)
123,0,3,26,0,POINT(98.3 18.5)
124,0,3,27,0,POINT(96.9 19)
125,0,3,28,0,POINT(95.9 19.3)
126,0,3,29,0,POINT(95 19.5)
127,0,3,30,0,POINT(93.9 19.8)
128,0,3,31,0,POINT(92.8 20.2)
129,0,3,32,0,POINT(91.6 20.6)
130,0,3,33,0,POINT(90.3 21.1)
131,0,3,34,0,POINT(89.1 21.4)
132,0,3,35,0,POINT(88 21.6)
133,0,3,36,0,POINT(87 21.6)
134,0,3,37,0,POINT(86.2 21.6)
135,0,3,38,0,POINT(85.7 21.6)
136,0,3,39,0,POINT(85.1 21.7)
137,0,3,40,0,POINT(84.2 21.8)
138,0,3,41,0,POINT(83.3 22)
139,0,3,42,0,POINT(82.7 22.1)
140,0,3,43,0,POINT(82 22.2)
141,0,3,44,0,POINT(81.3 22.3)
142,0,3,45,0,POINT(80.6 22.5)
143,0,3,46,0,POINT(80.1 21.9)
144,0,4,0,1,POINT(101.8 14.3)
145,0,4,1,1,POINT(101.2 15)
146,0,4,2,1,POINT(100.5 15.6)
147,0,4,3,1,POINT(99.8 16.2)
148,0,4,4,1,POINT(99 16.7)
149,0,4,5,1,POINT(98.2 17.3)
150,0,4,6,1,POINT(97.8 17.9)
151,0,4,7,1,POINT(97.9 18.5)
152,0,4,8,1,POINT(98.2 19.1)
153,0,4,9,1,POINT(98.5 19.7)
154,0,4,10,1,POINT(98.7 20.1)
155,0,4,11,1,POINT(98.8 20.4)
156,0,4,12,1,POINT(98.7 20.7)
157,0,4,13,1,POINT(98.4 20.9)
158,0,4,14,1,POINT(98 21)
159,0,4,15,1,POINT(97.7 21.1)
160,0,4,16,1,POINT(97.4 21.1)
161,0,4,17,1,POINT(97.1 21.2)
162,0,4,18,1,POINT(96.8 21.5)
163,0,4,19,1,POINT(96.7 22)
164,0,4,20,1,POINT(96.6 22.5)
165,0,4,21,1,POINT(96.5 23)
166,0,4,22,1,POINT(96.4 23.6)
167,0,5,0,1,POINT(104.4 28.1)
168,0,5,1,1,POINT(104.7 29.4)
169,0,5,2,1,POINT(105.2 30.6)
170,0,5,3,1,POINT(105.8 31.4)
171,0,5,4,1,POINT(106.4 31.9)
172,0,5,5,1,POINT(107 32.2)
173,0,5,6,1,POINT(107.7 32.4)
174,0,5,7,1,POINT(108.4 32.7)
175,0,5,8,1,POINT(109.3 33.1)
176,0,5,9,1,POINT(110.1 33.5)
177,0,5,10,1,POINT(110.2 33.9)
178,0,5,11,1,POINT(109.6 34.2)
179,0,5,12,1,POINT(108.7 34.2)
180,0,5,13,1,POINT(107.8 34)
181,0,5,14,1,POINT(107.5 33.5)
182,0,5,15,1,POINT(107.4 32.8)
183,0,5,16,1,POINT(107.7 31.9)
184,0,5,17,1,POINT(108.2 31)
185,0,5,18,1,POINT(108.9 30.3)
186,0,5,19,1,POINT(109.3 29.8)
187,0,5,20,1,POINT(110.1 29.4)
188,0,5,21,1,POINT(110.7 29.2)
189,0,5,22,1,POINT(115 29)
190,0,6,0,1,POINT(129 14)
191,0,6,1,1,POINT(128.4 14.8)
192,0,6,2,1,POINT(128.1 15.2)
193,0,6,3,1,POINT(127.7 15.5)
194,0,6,4,1,POINT(127.2 15.9)
195,0,6,5,1,POINT(126.6 16.2)
196,0,6,6,1,POINT(126 16.6)
197,0,6,7,1,POINT(125.4 17)
198,0,6,8,1,POINT(125 17.5)
199,0,6,9,1,POINT(124.6 18)
200,0,6,10,1,POINT(124.1 18.7)
201,0,6,11,1,POINT(123.6 19.3)
202,0,6,12,1,POINT(123.1 19.8)
203,0,6,13,1,POINT(122.7 20.2)
204,0,6,14,1,POINT(122.3 20.7)
205,0,6,15,1,POINT(121.9 21.3)
206,0,6,16,1,POINT(121.3 21.7)
207,0,7,0,0,POINT(102.4 11.8)
208,0,7,1,0,POINT(101.7 12.5)
209,0,7,2,0,POINT(100.9 13.3)
210,0,7,3,0,POINT(100.1 14.2)
211,0,7,4,0,POINT(99.3 15)
212,0,7,5,0,POINT(98.8 15.4)
