iteration,distance threshold,min length,downsampling factor,agent traj ids count,distinct traj ids count,running time,team,game,delta
0,1.5,5,3,145,29,84,1610612744,21500504,0.0019497688440687103
1,1.5,8,3,145,29,72,1610612744,21500504,0.0020713885311038852
2,1.5,10,3,145,29,61,1610612744,21500504,0.002199598611041167
3,4,5,3,145,29,341,1610612744,21500504,0.0013269878451595072
4,4,8,3,145,29,263,1610612744,21500504,0.001751206357053524
5,4,10,3,145,29,227,1610612744,21500504,0.0013485973854462721
6,1.5,5,3,170,34,101,1610612744,21500520,0.0014717518600357723
7,1.5,8,3,170,34,111,1610612744,21500520,0.0016679447002365304
8,1.5,10,3,170,34,89,1610612744,21500520,0.0018911291552155083
9,4,5,3,170,34,465,1610612744,21500520,0.048137056382502215
10,4,8,3,170,34,362,1610612744,21500520,0.0015319136547538234
11,4,10,3,170,34,311,1610612744,21500520,0.0015001038445868553
12,1.5,5,3,160,32,104,1610612744,21500524,0.002558169166159685
13,1.5,8,3,160,32,97,1610612744,21500524,0.0020455004459523705
14,1.5,10,3,160,32,88,1610612744,21500524,0.0020455004459523705
15,4,5,3,160,32,385,1610612744,21500524,0.0020455004459523705
16,4,8,3,160,32,321,1610612744,21500524,0.0033907917702669407
17,4,10,3,160,32,278,1610612744,21500524,0.003508924853948671
18,1.5,5,3,150,30,92,1610612744,21500548,0.004127612155385113
19,1.5,8,3,150,30,81,1610612744,21500548,0.0021608779859647073
20,1.5,10,3,150,30,76,1610612744,21500548,0.002251415122533057
21,4,5,3,150,30,327,1610612744,21500548,0.002503444781229298
22,4,8,3,150,30,270,1610612744,21500548,0.003392638828644464
23,4,10,3,150,30,243,1610612744,21500548,0.0035802732780661427
24,1.5,5,3,160,32,86,1610612744,21500556,0.0035802732780661427
25,1.5,8,3,160,32,79,1610612744,21500556,0.01532567049808429
26,1.5,10,3,160,32,85,1610612744,21500556,0.01532567049808429
27,4,5,3,160,32,402,1610612744,21500556,0.01532567049808429
28,4,8,3,160,32,332,1610612744,21500556,0.004082515883729378
29,4,10,3,160,32,290,1610612744,21500556,0.006851682997768731
30,1.5,5,3,105,21,50,1610612744,21500568,0.00423362941684061
31,1.5,8,3,105,21,38,1610612744,21500568,0.0035651507956287434
32,1.5,10,3,105,21,37,1610612744,21500568,0.0035651507956287434
33,4,5,3,105,21,166,1610612744,21500568,0.005469650548266959
34,4,8,3,105,21,137,1610612744,21500568,0.0017642151242421307
35,4,10,3,105,21,125,1610612744,21500568,0.001943018144985652
36,1.5,5,3,130,26,64,1610612744,21500583,0.002071476769337199
37,1.5,8,3,130,26,59,1610612744,21500583,0.005878238405797209
38,1.5,10,3,130,26,60,1610612744,21500583,0.00877963125548727
39,4,5,3,130,26,239,1610612744,21500583,0.00877963125548727
40,4,8,3,130,26,204,1610612744,21500583,0.026734910013769236
41,4,10,3,130,26,207,1610612744,21500583,0.0016940127709158261
42,1.5,5,3,110,22,53,1610612744,21500592,0.0013242312523034892
43,1.5,8,3,110,22,43,1610612744,21500592,0.001677640235734826
44,1.5,10,3,110,22,42,1610612744,21500592,0.002880585407853378
45,4,5,3,110,22,212,1610612744,21500592,0.002880585407853378
46,4,8,3,110,22,153,1610612744,21500592,0.002880585407853378
47,4,10,3,110,22,127,1610612744,21500592,0.002350075132221867
48,1.5,5,3,30,6,9,1610612744,21500622,0.0035180275741885196
49,1.5,8,3,30,6,9,1610612744,21500622,0.0035180275741885196
50,1.5,10,3,30,6,7,1610612744,21500622,0.001751206357053524
51,4,5,3,30,6,16,1610612744,21500622,0.001751206357053524
52,4,8,3,30,6,15,1610612744,21500622,0.001751206357053524
53,4,10,3,30,6,17,1610612744,21500622,0.0026888094644988204
54,1.5,5,3,80,16,28,1610612744,21500003,0.002623307665765288
55,1.5,8,3,80,16,27,1610612744,21500003,0.005182398018326051
56,1.5,10,3,80,16,27,1610612744,21500003,0.002014686372941987
57,4,5,3,80,16,96,1610612744,21500003,0.002014686372941987
58,4,8,3,80,16,77,1610612744,21500003,0.0024661431998291537
59,4,10,3,80,16,74,1610612744,21500003,0.0019821061579829583
60,1.5,5,3,85,17,33,1610612744,21500035,0.0015334694317905267
61,1.5,8,3,85,17,26,1610612744,21500035,0.0017293923720651631
62,1.5,10,3,85,17,25,1610612744,21500035,0.005063028957601526
63,4,5,3,85,17,112,1610612744,21500035,0.005063028957601526
64,4,8,3,85,17,101,1610612744,21500035,0.006126784607797266
65,4,10,3,85,17,90,1610612744,21500035,0.0018268364319350247
66,1.5,5,3,115,23,52,1610612744,21500051,0.002204669575909105
67,1.5,8,3,115,23,44,1610612744,21500051,0.003290418342344652
68,1.5,10,3,115,23,42,1610612744,21500051,0.001562611711278336
69,4,5,3,115,23,209,1610612744,21500051,0.001562611711278336
70,4,8,3,115,23,158,1610612744,21500051,0.001562611711278336
71,4,10,3,115,23,151,1610612744,21500051,0.002193237372598036
72,1.5,5,3,70,14,25,1610612744,21500069,0.002193237372598036
73,1.5,8,3,70,14,21,1610612744,21500069,0.002193237372598036
74,1.5,10,3,70,14,17,1610612744,21500069,0.002880585407853378
75,4,5,3,70,14,71,1610612744,21500069,0.002880585407853378
76,4,8,3,70,14,64,1610612744,21500069,0.003021265847192746
77,4,10,3,70,14,55,1610612744,21500069,0.0015586305546770477
78,1.5,5,3,175,35,110,1610612744,21500083,0.0015423159166227766
79,1.5,8,3,175,35,100,1610612744,21500083,0.002880585407853378
80,1.5,10,3,175,35,96,1610612744,21500083,0.002193237372598036
81,4,5,3,175,35,512,1610612744,21500083,0.002193237372598036
82,4,8,3,175,35,401,1610612744,21500083,0.002193237372598036
83,4,10,3,175,35,330,1610612744,21500083,0.03723814482954338
84,1.5,5,3,120,24,57,1610612744,21500092,0.0010530547569857953
85,1.5,8,3,120,24,49,1610612744,21500092,0.0017073902355832097
86,1.5,10,3,120,24,46,1610612744,21500092,0.0017215969835221929
87,4,5,3,120,24,227,1610612744,21500092,0.0037856473423483732
88,4,8,3,120,24,176,1610612744,21500092,0.0037856473423483732
89,4,10,3,120,24,165,1610612744,21500092,0.005614950687310776
90,1.5,5,3,115,23,52,1610612744,21500104,0.001719762751636541
91,1.5,8,3,115,23,46,1610612744,21500104,0.002014686372941987
92,1.5,10,3,115,23,43,1610612744,21500104,0.002014686372941987
93,4,5,3,115,23,202,1610612744,21500104,0.0019263117121058894
94,4,8,3,115,23,175,1610612744,21500104,0.0019263117121058894
95,4,10,3,115,23,144,1610612744,21500104,0.0021685927072613567
96,1.5,5,3,170,34,108,1610612744,21500120,0.0033342612227701828
97,1.5,8,3,170,34,91,1610612744,21500120,0.004264595804311725
98,1.5,10,3,170,34,81,1610612744,21500120,0.004345598812535264
99,4,5,3,170,34,505,1610612744,21500120,0.0022882559900475616
100,4,8,3,170,34,401,1610612744,21500120,0.0022882559900475616
101,4,10,3,170,34,313,1610612744,21500120,0.0025089468479103094
102,1.5,5,3,115,23,52,1610612744,21500125,0.0026655910417338405
103,1.5,8,3,115,23,48,1610612744,21500125,0.0019622003913551418
104,1.5,10,3,115,23,44,1610612744,21500125,0.0027318612881490813
105,4,5,3,115,23,189,1610612744,21500125,0.002739236879296604
106,4,8,3,115,23,173,1610612744,21500125,0.002739236879296604
107,4,10,3,115,23,154,1610612744,21500125,0.0041113120149923925
108,1.5,5,3,135,27,67,1610612744,21500144,0.0026210711383394883
109,1.5,8,3,135,27,58,1610612744,21500144,0.0032436288192591754
110,1.5,10,3,135,27,55,1610612744,21500144,0.004705250642083191
111,4,5,3,135,27,264,1610612744,21500144,0.0018211773825210957
112,4,8,3,135,27,217,1610612744,21500144,0.0019416781898674601
113,4,10,3,135,27,190,1610612744,21500144,0.001771241758399388
114,1.5,5,3,145,29,84,1610612744,21500164,0.00189542890103306
115,1.5,8,3,145,29,78,1610612744,21500164,0.0026655910417338405
116,1.5,10,3,145,29,69,1610612744,21500164,0.0026056458164203183
117,4,5,3,145,29,295,1610612744,21500164,0.0421646664530915
118,4,8,3,145,29,252,1610612744,21500164,0.001804762487676928
119,4,10,3,145,29,212,1610612744,21500164,0.001804762487676928
120,1.5,5,3,80,16,32,1610612744,21500177,0.0020779671169024335
121,1.5,8,3,80,16,28,1610612744,21500177,0.004053098174548609
122,1.5,10,3,80,16,29,1610612744,21500177,0.005120369782599377
123,4,5,3,80,16,86,1610612744,21500177,0.005120369782599377
124,4,8,3,80,16,72,1610612744,21500177,
125,4,10,3,80,16,66,1610612744,21500177,
126,1.5,5,3,130,26,69,1610612744,21500187,
127,1.5,8,3,130,26,67,1610612744,21500187,
128,1.5,10,3,130,26,60,1610612744,21500187,
129,4,5,3,130,26,241,1610612744,21500187,
130,4,8,3,130,26,200,1610612744,21500187,
131,4,10,3,130,26,179,1610612744,21500187,
132,1.5,5,3,185,37,140,1610612744,21500200,
133,1.5,8,3,185,37,130,1610612744,21500200,
134,1.5,10,3,185,37,127,1610612744,21500200,
135,4,5,3,185,37,577,1610612744,21500200,
136,4,8,3,185,37,465,1610612744,21500200,
137,4,10,3,185,37,408,1610612744,21500200,
138,1.5,5,3,120,24,59,1610612744,21500214,
139,1.5,8,3,120,24,56,1610612744,21500214,
140,1.5,10,3,120,24,48,1610612744,21500214,
141,4,5,3,120,24,204,1610612744,21500214,
142,4,8,3,120,24,174,1610612744,21500214,
143,4,10,3,120,24,149,1610612744,21500214,
144,1.5,5,3,120,24,59,1610612744,21500236,
145,1.5,8,3,120,24,49,1610612744,21500236,
146,1.5,10,3,120,24,46,1610612744,21500236,
147,4,5,3,120,24,226,1610612744,21500236,
148,4,8,3,120,24,193,1610612744,21500236,
149,4,10,3,120,24,168,1610612744,21500236,
150,1.5,5,3,120,24,55,1610612744,21500245,
151,1.5,8,3,120,24,48,1610612744,21500245,
152,1.5,10,3,120,24,45,1610612744,21500245,
153,4,5,3,120,24,220,1610612744,21500245,
154,4,8,3,120,24,188,1610612744,21500245,
155,4,10,3,120,24,156,1610612744,21500245,
