min length,downsampling factor,running time,agent traj ids count,team,distinct traj ids count,iteration,game,distance threshold,delta
5,4,50,145,1610612744,29,0,21500504,1.5,0.002199598611041167
8,4,43,145,1610612744,29,1,21500504,1.5,0.002588312829202092
8,4,178,170,1610612744,34,10,21500520,4,0.002558169166159685
8,4,182,170,1610612744,34,100,21500120,4,0.00443035276302301
10,4,152,170,1610612744,34,101,21500120,4,0.002071476769337199
5,4,34,115,1610612744,23,102,21500125,1.5,0.0041113120149923925
8,4,31,115,1610612744,23,103,21500125,1.5,0.0035417958576779906
10,4,23,115,1610612744,23,104,21500125,1.5,0.0032436288192591754
5,4,98,115,1610612744,23,105,21500125,4,0.004705250642083191
8,4,82,115,1610612744,23,106,21500125,4,0.005999795652605235
10,4,68,115,1610612744,23,107,21500125,4,0.0019416781898674601
5,4,38,135,1610612744,27,108,21500144,1.5,0.0026945084790460905
8,4,33,135,1610612744,27,109,21500144,1.5,0.0027119384270397843
10,4,149,170,1610612744,34,11,21500520,4,0.002558169166159685
10,4,34,135,1610612744,27,110,21500144,1.5,0.0019622003913551418
5,4,142,135,1610612744,27,111,21500144,4,0.0026655910417338405
8,4,106,135,1610612744,27,112,21500144,4,0.0029317937952793517
10,4,92,135,1610612744,27,113,21500144,4,0.001962846778522972
5,4,48,145,1610612744,29,114,21500164,1.5,0.0020779671169024335
8,4,44,145,1610612744,29,115,21500164,1.5,0.0036660528921540194
10,4,33,145,1610612744,29,116,21500164,1.5,0.003735232908999889
5,4,159,145,1610612744,29,117,21500164,4,0.0070259769171841634
8,4,114,145,1610612744,29,118,21500164,4,0.0070259769171841634
10,4,101,145,1610612744,29,119,21500164,4,
5,4,59,160,1610612744,32,12,21500524,1.5,0.0021240934502607606
5,4,20,80,1610612744,16,120,21500177,1.5,
8,4,18,80,1610612744,16,121,21500177,1.5,
10,4,14,80,1610612744,16,122,21500177,1.5,
5,4,47,80,1610612744,16,123,21500177,4,
8,4,37,80,1610612744,16,124,21500177,4,
10,4,34,80,1610612744,16,125,21500177,4,
5,4,41,130,1610612744,26,126,21500187,1.5,
8,4,36,130,1610612744,26,127,21500187,1.5,
10,4,34,130,1610612744,26,128,21500187,1.5,
5,4,127,130,1610612744,26,129,21500187,4,
8,4,52,160,1610612744,32,13,21500524,1.5,0.002442279658098335
8,4,106,130,1610612744,26,130,21500187,4,
10,4,86,130,1610612744,26,131,21500187,4,
5,4,67,185,1610612744,37,132,21500200,1.5,
8,4,66,185,1610612744,37,133,21500200,1.5,
10,4,54,185,1610612744,37,134,21500200,1.5,
5,4,310,185,1610612744,37,135,21500200,4,
8,4,10286,185,1610612744,37,136,21500200,4,
10,4,183,185,1610612744,37,137,21500200,4,
5,4,37,120,1610612744,24,138,21500214,1.5,
8,4,33,120,1610612744,24,139,21500214,1.5,
10,4,42,160,1610612744,32,14,21500524,1.5,0.002117368086147654
10,4,29,120,1610612744,24,140,21500214,1.5,
5,4,107,120,1610612744,24,141,21500214,4,
8,4,86,120,1610612744,24,142,21500214,4,
10,4,72,120,1610612744,24,143,21500214,4,
5,4,37,120,1610612744,24,144,21500236,1.5,
8,4,32,120,1610612744,24,145,21500236,1.5,
10,4,30,120,1610612744,24,146,21500236,1.5,
5,4,112,120,1610612744,24,147,21500236,4,
8,4,85,120,1610612744,24,148,21500236,4,
10,4,71,120,1610612744,24,149,21500236,4,
5,4,213,160,1610612744,32,15,21500524,4,0.003508924853948671
5,4,30,120,1610612744,24,150,21500245,1.5,
8,4,33,120,1610612744,24,151,21500245,1.5,
10,4,23,120,1610612744,24,152,21500245,1.5,
5,4,107,120,1610612744,24,153,21500245,4,
8,4,83,120,1610612744,24,154,21500245,4,
10,4,70,120,1610612744,24,155,21500245,4,
5,4,37,120,1610612744,24,156,21500259,1.5,
8,4,28,120,1610612744,24,157,21500259,1.5,
10,4,24,120,1610612744,24,158,21500259,1.5,
5,4,106,120,1610612744,24,159,21500259,4,
8,4,162,160,1610612744,32,16,21500524,4,0.004770117217318534
8,4,84,120,1610612744,24,160,21500259,4,
10,4,71,120,1610612744,24,161,21500259,4,
5,4,55,175,1610612744,35,162,21500268,1.5,
8,4,54,175,1610612744,35,163,21500268,1.5,
10,4,52,175,1610612744,35,164,21500268,1.5,
5,4,258,175,1610612744,35,165,21500268,4,
8,4,192,175,1610612744,35,166,21500268,4,
10,4,159,175,1610612744,35,167,21500268,4,
5,4,24,100,1610612744,20,168,21500300,1.5,
8,4,20,100,1610612744,20,169,21500300,1.5,
10,4,127,160,1610612744,32,17,21500524,4,0.006046455382325962
10,4,22,100,1610612744,20,170,21500300,1.5,
5,4,72,100,1610612744,20,171,21500300,4,
8,4,62,100,1610612744,20,172,21500300,4,
10,4,52,100,1610612744,20,173,21500300,4,
5,4,45,135,1610612744,27,174,21500314,1.5,
