downsampling factor,iteration,game,distance threshold,min length,team,running time,delta
2,0,21500504,1.5,5,1610612744,171,0.03315976250575777
2,1,21500504,1.5,8,1610612744,194,0.0013604152758619795
2,10,21500520,4,8,1610612744,931,0.001376031399361463
2,100,21500120,4,8,1610612744,938,0.002880585407853378
2,101,21500120,4,10,1610612744,855,0.002880585407853378
2,102,21500125,1.5,5,1610612744,117,0.0022843327610940927
2,103,21500125,1.5,8,1610612744,126,0.036507472655923856
2,104,21500125,1.5,10,1610612744,116,0.0015423159166227766
2,105,21500125,4,5,1610612744,418,0.0015059498978393364
2,106,21500125,4,8,1610612744,402,0.0015423159166227766
2,107,21500125,4,10,1610612744,380,0.027411633549740966
2,108,21500144,1.5,5,1610612744,180,0.0012991334653512413
2,109,21500144,1.5,8,1610612744,176,0.0020097437937479775
2,11,21500520,4,10,1610612744,872,0.001376031399361463
2,110,21500144,1.5,10,1610612744,167,0.0012991334653512413
2,111,21500144,4,5,1610612744,595,0.03723814482954338
2,112,21500144,4,8,1610612744,538,0.0010607316446571678
2,113,21500144,4,10,1610612744,4676,0.0009746303246611988
2,114,21500164,1.5,5,1610612744,205,0.001461003723339422
2,115,21500164,1.5,8,1610612744,187,0.017732769129947642
2,116,21500164,1.5,10,1610612744,185,0.003685507736548778
2,117,21500164,4,5,1610612744,657,0.003685507736548778
2,118,21500164,4,8,1610612744,625,0.003685507736548778
2,119,21500164,4,10,1610612744,589,0.03490915584125709
2,12,21500524,1.5,5,1610612744,262,0.0184635284754803
2,120,21500177,1.5,5,1610612744,58,0.002014686372941987
2,121,21500177,1.5,8,1610612744,49,0.001948592818426204
2,122,21500177,1.5,10,1610612744,52,0.001948592818426204
2,123,21500177,4,5,1610612744,178,0.03144459425528967
2,124,21500177,4,8,1610612744,171,0.02251898402723226
2,125,21500177,4,10,1610612744,161,0.0018612269627274556
2,126,21500187,1.5,5,1610612744,171,0.0019263117121058894
2,127,21500187,1.5,8,1610612744,165,0.0019263117121058894
2,128,21500187,1.5,10,1610612744,162,0.036567846415045055
2,129,21500187,4,5,1610612744,580,0.0033342612227701828
2,13,21500524,1.5,8,1610612744,244,0.0015253031901154251
2,130,21500187,4,8,1610612744,512,0.0033342612227701828
2,131,21500187,4,10,1610612744,498,0.0033342612227701828
2,132,21500200,1.5,5,1610612744,341,0.047526795733319575
2,133,21500200,1.5,8,1610612744,327,0.047526795733319575
2,134,21500200,1.5,10,1610612744,303,0.0022346851881887594
2,135,21500200,4,5,1610612744,1330,0.0022882559900475616
2,136,21500200,4,8,1610612744,1218,0.0022882559900475616
2,137,21500200,4,10,1610612744,1104,0.02006782936605499
2,138,21500214,1.5,5,1610612744,142,0.002019534454016177
2,139,21500214,1.5,8,1610612744,116,0.0019622003913551418
2,14,21500524,1.5,10,1610612744,236,0.0010092867169172685
2,140,21500214,1.5,10,1610612744,136,0.00189542890103306
2,141,21500214,4,5,1610612744,448,0.04310362285089407
2,142,21500214,4,8,1610612744,412,0.04310362285089407
2,143,21500214,4,10,1610612744,392,0.001958135795186298
2,144,21500236,1.5,5,1610612744,137,0.001943018144985652
2,145,21500236,1.5,8,1610612744,135,0.001958135795186298
2,146,21500236,1.5,10,1610612744,133,0.048638256170618004
2,147,21500236,4,5,1610612744,456,0.0026210711383394883
2,148,21500236,4,8,1610612744,439,0.0021223846812023963
2,149,21500236,4,10,1610612744,419,0.003152822048552697
2,15,21500524,4,5,1610612744,870,0.0012833321860737756
2,150,21500245,1.5,5,1610612744,143,0.02792389310730765
2,151,21500245,1.5,8,1610612744,138,0.0018211773825210957
2,152,21500245,1.5,10,1610612744,131,0.0017683155788378857
2,153,21500245,4,5,1610612744,461,0.0017683155788378857
2,154,21500245,4,8,1610612744,413,0.02006782936605499
2,155,21500245,4,10,1610612744,403,0.0018604015159952322
2,156,21500259,1.5,5,1610612744,142,0.00189542890103306
2,157,21500259,1.5,8,1610612744,135,0.0019622003913551418
2,158,21500259,1.5,10,1610612744,132,0.0421646664530915
2,159,21500259,4,5,1610612744,441,0.0014629246345099836
2,16,21500524,4,8,1610612744,813,0.02950572787355276
2,160,21500259,4,8,1610612744,419,0.0013231639281244775
2,161,21500259,4,10,1610612744,390,0.0016060549373123894
2,162,21500268,1.5,5,1610612744,289,0.03289414787603128
2,163,21500268,1.5,8,1610612744,277,0.003735232908999889
2,164,21500268,1.5,10,1610612744,263,0.004053098174548609
2,165,21500268,4,5,1610612744,1112,0.004053098174548609
2,166,21500268,4,8,1610612744,1003,
2,167,21500268,4,10,1610612744,948,
2,168,21500300,1.5,5,1610612744,90,
2,169,21500300,1.5,8,1610612744,81,
2,17,21500524,4,10,1610612744,750,0.0015018287105813752
2,170,21500300,1.5,10,1610612744,84,
2,171,21500300,4,5,1610612744,303,
2,172,21500300,4,8,1610612744,287,
2,173,21500300,4,10,1610612744,272,
2,174,21500314,1.5,5,1610612744,176,
2,175,21500314,1.5,8,1610612744,170,
2,176,21500314,1.5,10,1610612744,163,
2,177,21500314,4,5,1610612744,579,
2,178,21500314,4,8,1610612744,541,
2,179,21500314,4,10,1610612744,509,
2,18,21500548,1.5,5,1610612744,217,0.0015018287105813752
2,180,21500336,1.5,5,1610612744,178,
2,181,21500336,1.5,8,1610612744,179,
2,182,21500336,1.5,10,1610612744,162,
2,183,21500336,4,5,1610612744,589,
2,184,21500336,4,8,1610612744,564,
2,185,21500336,4,10,1610612744,529,
2,186,21500351,1.5,5,1610612744,78,
2,187,21500351,1.5,8,1610612744,80,
2,188,21500351,1.5,10,1610612744,78,
2,189,21500351,4,5,1610612744,246,
2,19,21500548,1.5,8,1610612744,209,0.0015018287105813752
2,190,21500351,4,8,1610612744,238,
2,191,21500351,4,10,1610612744,231,
2,192,21500381,1.5,5,1610612744,151,
2,193,21500381,1.5,8,1610612744,144,
2,194,21500381,1.5,10,1610612744,146,
2,195,21500381,4,5,1610612744,526,
2,196,21500381,4,8,1610612744,495,
2,197,21500381,4,10,1610612744,463,
2,198,21500397,1.5,5,1610612744,179,
2,199,21500397,1.5,8,1610612744,178,
2,2,21500504,1.5,10,1610612744,190,0.0019497688440687103
2,20,21500548,1.5,10,1610612744,204,0.038236653884854914
2,200,21500397,1.5,10,1610612744,169,
2,201,21500397,4,5,1610612744,640,
2,202,21500397,4,8,1610612744,607,
2,203,21500397,4,10,1610612744,543,
2,204,21500434,1.5,5,1610612744,118,
2,205,21500434,1.5,8,1610612744,123,
2,206,21500434,1.5,10,1610612744,115,
2,207,21500434,4,5,1610612744,463,
2,208,21500434,4,8,1610612744,424,
2,209,21500434,4,10,1610612744,386,
2,21,21500548,4,5,1610612744,771,0.0033907917702669407
2,210,21500438,1.5,5,1610612744,84,
2,211,21500438,1.5,8,1610612744,78,
2,212,21500438,1.5,10,1610612744,72,
2,213,21500438,4,5,1610612744,292,
2,214,21500438,4,8,1610612744,276,
2,215,21500438,4,10,1610612744,270,
2,216,21500468,1.5,5,1610612744,218,
2,217,21500468,1.5,8,1610612744,212,
2,218,21500468,1.5,10,1610612744,205,
2,219,21500468,4,5,1610612744,743,
2,22,21500548,4,8,1610612744,690,0.0023522950993054947
2,220,21500468,4,8,1610612744,704,
2,221,21500468,4,10,1610612744,650,
2,222,21500480,1.5,5,1610612744,180,
2,223,21500480,1.5,8,1610612744,170,
2,224,21500480,1.5,10,1610612744,169,
2,225,21500480,4,5,1610612744,633,
2,226,21500480,4,8,1610612744,588,
2,227,21500480,4,10,1610612744,541,
2,228,21500485,1.5,5,1610612744,234,
2,229,21500485,1.5,8,1610612744,231,
2,23,21500548,4,10,1610612744,631,0.0023522950993054947
2,230,21500485,1.5,10,1610612744,227,
2,231,21500485,4,5,1610612744,918,
2,232,21500485,4,8,1610612744,847,
2,233,21500485,4,10,1610612744,775,
2,234,21500290,1.5,5,1610612744,74,
2,235,21500290,1.5,8,1610612744,76,
2,236,21500290,1.5,10,1610612744,72,
2,237,21500290,4,5,1610612744,291,
2,238,21500290,4,8,1610612744,268,
2,239,21500290,4,10,1610612744,256,
2,24,21500556,1.5,5,1610612744,260,0.021148664556465326
2,25,21500556,1.5,8,1610612744,246,0.016091375206006227
2,26,21500556,1.5,10,1610612744,230,0.002251415122533057
2,27,21500556,4,5,1610612744,926,0.0019320623049937237
2,28,21500556,4,8,1610612744,841,0.0014816150983471648
2,29,21500556,4,10,1610612744,777,0.04659420772625084
2,3,21500504,4,5,1610612744,734,0.0018283428596597656
2,30,21500568,1.5,5,1610612744,89,0.03166016678834993
2,31,21500568,1.5,8,1610612744,105,0.003392638828644464
2,32,21500568,1.5,10,1610612744,97,0.003392638828644464
2,33,21500568,4,5,1610612744,371,0.0024365127582478214
2,34,21500568,4,8,1610612744,339,0.01532567049808429
2,35,21500568,4,10,1610612744,314,0.01532567049808429
2,36,21500583,1.5,5,1610612744,171,0.01532567049808429
2,37,21500583,1.5,8,1610612744,167,0.02700763593501768
2,38,21500583,1.5,10,1610612744,159,0.0038751321872626428
2,39,21500583,4,5,1610612744,543,0.004082515883729378
2,4,21500504,4,8,1610612744,647,0.04060957106857891
2,40,21500583,4,8,1610612744,514,0.00423362941684061
2,41,21500583,4,10,1610612744,493,0.023083932368127974
2,42,21500592,1.5,5,1610612744,104,0.0035651507956287434
2,43,21500592,1.5,8,1610612744,108,0.0035651507956287434
2,44,21500592,1.5,10,1610612744,100,0.0035651507956287434
2,45,21500592,4,5,1610612744,415,0.04310362285089407
2,46,21500592,4,8,1610612744,373,0.04310362285089407
2,47,21500592,4,10,1610612744,355,0.001749966777479348
2,48,21500622,1.5,5,1610612744,12,0.001749966777479348
2,49,21500622,1.5,8,1610612744,12,0.001943018144985652
2,5,21500504,4,10,1610612744,614,0.0011548365213169323
2,50,21500622,1.5,10,1610612744,10,0.02759312680295999
2,51,21500622,4,5,1610612744,26,0.005878238405797209
2,52,21500622,4,8,1610612744,24,0.005878238405797209
2,53,21500622,4,10,1610612744,23,0.005878238405797209
2,54,21500003,1.5,5,1610612744,56,0.026734910013769236
2,55,21500003,1.5,8,1610612744,55,0.0015654890745365622
2,56,21500003,1.5,10,1610612744,52,0.0010667732393564637
2,57,21500003,4,5,1610612744,166,0.0010667732393564637
2,58,21500003,4,8,1610612744,157,0.036507472655923856
2,59,21500003,4,10,1610612744,153,0.002880585407853378
2,6,21500520,1.5,5,1610612744,282,0.0013269878451595072
2,60,21500035,1.5,5,1610612744,71,0.002880585407853378
2,61,21500035,1.5,8,1610612744,60,0.002880585407853378
2,62,21500035,1.5,10,1610612744,57,0.027610283781685736
2,63,21500035,4,5,1610612744,211,0.002350075132221867
2,64,21500035,4,8,1610612744,204,0.002350075132221867
2,65,21500035,4,10,1610612744,195,0.003133635658293579
2,66,21500051,1.5,5,1610612744,108,0.04060957106857891
2,67,21500051,1.5,8,1610612744,127,0.0016796910507146019
2,68,21500051,1.5,10,1610612744,121,0.0016796910507146019
2,69,21500051,4,5,1610612744,404,0.0013269878451595072
2,7,21500520,1.5,8,1610612744,273,0.0011548365213169323
2,70,21500051,4,8,1610612744,379,0.03780674884945759
2,71,21500051,4,10,1610612744,352,0.026438740174792502
2,72,21500069,1.5,5,1610612744,52,0.0026888094644988204
2,73,21500069,1.5,8,1610612744,39,0.0026888094644988204
2,74,21500069,1.5,10,1610612744,45,0.002623307665765288
2,75,21500069,4,5,1610612744,124,0.03490915584125709
2,76,21500069,4,8,1610612744,120,0.002014686372941987
2,77,21500069,4,10,1610612744,119,0.001948592818426204
2,78,21500083,1.5,5,1610612744,297,0.002014686372941987
2,79,21500083,1.5,8,1610612744,279,0.03464437250203942
2,8,21500520,1.5,10,1610612744,268,0.04207636747371504
2,80,21500083,1.5,10,1610612744,272,0.0013706344471007162
2,81,21500083,4,5,1610612744,1054,0.0014629118942805872
2,82,21500083,4,8,1610612744,949,0.0015334694317905267
2,83,21500083,4,10,1610612744,894,0.027750730282375853
2,84,21500092,1.5,5,1610612744,142,0.005063028957601526
2,85,21500092,1.5,8,1610612744,119,0.005063028957601526
2,86,21500092,1.5,10,1610612744,129,0.005063028957601526
2,87,21500092,4,5,1610612744,453,0.024306282208909933
2,88,21500092,4,8,1610612744,417,0.001591979765060705
2,89,21500092,4,10,1610612744,396,0.0018268364319350247
2,9,21500520,4,5,1610612744,1036,0.0013524724451195534
2,90,21500104,1.5,5,1610612744,101,0.001591979765060705
2,91,21500104,1.5,8,1610612744,125,0.016846512121108232
2,92,21500104,1.5,10,1610612744,123,0.0012687554424863634
2,93,21500104,4,5,1610612744,423,0.0011324420482599145
2,94,21500104,4,8,1610612744,386,0.0011324420482599145
2,95,21500104,4,10,1610612744,364,0.027411633549740966
2,96,21500120,1.5,5,1610612744,282,0.0020352007443019864
2,97,21500120,1.5,8,1610612744,227,0.0020352007443019864
2,98,21500120,1.5,10,1610612744,260,0.0020097437937479775
2,99,21500120,4,5,1610612744,1099,0.036507472655923856
